"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-03-04;"Masculino";"60-64";1;1
2020-03-20;"Feminino";"35-39";1;1
2020-03-20;"Feminino";"45-49";1;1
2020-03-20;"Masculino";"30-34";2;2
2020-03-21;"Feminino";"25-29";1;1
2020-03-21;"Feminino";"40-44";1;1
2020-03-21;"Masculino";"55-59";1;1
2020-03-22;"Feminino";"70-74";1;1
2020-03-23;"Feminino";"35-39";1;2
2020-03-25;"Feminino";"25-29";1;2
2020-03-25;"Feminino";"30-34";1;1
2020-03-25;"Feminino";"40-44";1;2
2020-03-25;"Masculino";"30-34";1;3
2020-03-25;"Masculino";"35-39";1;1
2020-03-25;"Masculino";"70-74";1;1
2020-03-26;"Feminino";"25-29";1;3
2020-03-26;"Feminino";"30-34";3;4
2020-03-26;"Feminino";"35-39";1;3
2020-03-26;"Feminino";"40-44";1;3
2020-03-26;"Feminino";"45-49";1;2
2020-03-26;"Masculino";"35-39";1;2
2020-03-26;"Masculino";"45-49";1;1
2020-03-26;"Masculino";"60-64";1;2
2020-03-27;"Feminino";"30-34";1;5
2020-03-27;"Feminino";"50-54";3;3
2020-03-27;"Masculino";"25-29";1;1
2020-03-27;"Masculino";"50-54";1;1
2020-03-27;"Masculino";"55-59";2;3
2020-03-27;"Masculino";"60-64";1;3
2020-03-27;"Masculino";"65-69";1;1
2020-03-27;"Masculino";"80-84";1;1
2020-03-28;"Feminino";"0-4";2;2
2020-03-28;"Feminino";"20-24";2;2
2020-03-28;"Feminino";"25-29";1;4
2020-03-28;"Feminino";"30-34";6;11
2020-03-28;"Feminino";"35-39";5;8
2020-03-28;"Feminino";"40-44";3;6
2020-03-28;"Feminino";"45-49";1;3
2020-03-28;"Feminino";"50-54";1;4
2020-03-28;"Feminino";"55-59";1;1
2020-03-28;"Masculino";"20-24";1;1
2020-03-28;"Masculino";"25-29";2;3
2020-03-28;"Masculino";"30-34";2;5
2020-03-28;"Masculino";"35-39";2;4
2020-03-28;"Masculino";"45-49";3;4
2020-03-28;"Masculino";"50-54";1;2
2020-03-28;"Masculino";"55-59";2;5
2020-03-30;"Feminino";"30-34";1;12
2020-03-30;"Masculino";"35-39";2;6
2020-03-30;"Masculino";"40-44";1;1
2020-03-30;"Masculino";"55-59";1;6
2020-03-30;"Masculino";"60-64";2;5
2020-03-31;"Feminino";"20-24";1;3
2020-03-31;"Feminino";"25-29";2;6
2020-03-31;"Feminino";"30-34";3;15
2020-03-31;"Feminino";"35-39";7;15
2020-03-31;"Feminino";"40-44";2;8
2020-03-31;"Feminino";"45-49";1;4
2020-03-31;"Feminino";"50-54";1;5
2020-03-31;"Feminino";"55-59";1;2
2020-03-31;"Feminino";"65-69";1;1
2020-03-31;"Feminino";"70-74";1;2
2020-03-31;"Feminino";"90-94";1;1
2020-03-31;"Masculino";"20-24";3;4
2020-03-31;"Masculino";"25-29";1;4
2020-03-31;"Masculino";"30-34";2;7
2020-03-31;"Masculino";"35-39";3;9
2020-03-31;"Masculino";"40-44";3;4
2020-03-31;"Masculino";"45-49";1;5
2020-03-31;"Masculino";"55-59";2;8
2020-04-01;"Feminino";"15-19";1;1
2020-04-01;"Feminino";"20-24";1;4
2020-04-01;"Feminino";"25-29";2;8
2020-04-01;"Feminino";"35-39";4;19
2020-04-01;"Feminino";"40-44";1;9
2020-04-01;"Feminino";"50-54";3;8
2020-04-01;"Feminino";"55-59";2;4
2020-04-01;"Feminino";"60-64";1;1
2020-04-01;"Feminino";"65-69";1;2
2020-04-01;"Feminino";"70-74";1;3
2020-04-01;"Feminino";"85-89";1;1
2020-04-01;"Masculino";"20-24";1;5
2020-04-01;"Masculino";"25-29";1;5
2020-04-01;"Masculino";"35-39";2;11
2020-04-01;"Masculino";"40-44";2;6
2020-04-01;"Masculino";"5-9";1;1
2020-04-01;"Masculino";"50-54";2;4
2020-04-01;"Masculino";"60-64";1;6
2020-04-01;"Masculino";"65-69";1;2
2020-04-02;"Feminino";"25-29";3;11
2020-04-02;"Feminino";"30-34";1;16
2020-04-02;"Feminino";"35-39";1;20
2020-04-02;"Feminino";"45-49";2;6
2020-04-02;"Feminino";"50-54";2;10
2020-04-02;"Feminino";"55-59";1;5
2020-04-02;"Feminino";"60-64";1;2
2020-04-02;"Feminino";"65-69";2;4
2020-04-02;"Masculino";"15-19";1;1
2020-04-02;"Masculino";"25-29";1;6
2020-04-02;"Masculino";"35-39";1;12
2020-04-02;"Masculino";"40-44";2;8
2020-04-02;"Masculino";"45-49";2;7
2020-04-02;"Masculino";"50-54";1;5
2020-04-02;"Masculino";"60-64";1;7
2020-04-02;"Masculino";"65-69";1;3
2020-04-02;"Masculino";"70-74";1;2
2020-04-03;"Feminino";"20-24";1;5
2020-04-03;"Feminino";"25-29";2;13
2020-04-03;"Feminino";"30-34";2;18
2020-04-03;"Feminino";"35-39";2;22
2020-04-03;"Feminino";"40-44";1;10
2020-04-03;"Feminino";"45-49";1;7
2020-04-03;"Feminino";"55-59";1;6
2020-04-03;"Feminino";"60-64";1;3
2020-04-03;"Feminino";"90-94";2;3
2020-04-03;"Masculino";"30-34";1;8
2020-04-03;"Masculino";"35-39";3;15
2020-04-03;"Masculino";"45-49";1;8
2020-04-03;"Masculino";"50-54";1;6
2020-04-03;"Masculino";"55-59";1;9
2020-04-03;"Masculino";"65-69";2;5
2020-04-03;"Masculino";"75-79";1;1
2020-04-04;"Feminino";"30-34";2;20
2020-04-04;"Feminino";"35-39";4;26
2020-04-04;"Feminino";"45-49";2;9
2020-04-04;"Feminino";"50-54";2;12
2020-04-04;"Feminino";"55-59";1;7
2020-04-04;"Feminino";"60-64";2;5
2020-04-04;"Feminino";"65-69";1;5
2020-04-04;"Masculino";"0-4";1;1
2020-04-04;"Masculino";"25-29";1;7
2020-04-04;"Masculino";"30-34";1;9
2020-04-04;"Masculino";"35-39";3;18
2020-04-04;"Masculino";"40-44";2;10
2020-04-04;"Masculino";"45-49";3;11
2020-04-04;"Masculino";"50-54";2;8
2020-04-04;"Masculino";"55-59";1;10
2020-04-04;"Masculino";"60-64";3;10
2020-04-04;"Masculino";"65-69";3;8
2020-04-04;"Masculino";"70-74";2;4
2020-04-06;"Feminino";"20-24";1;6
2020-04-06;"Feminino";"30-34";1;21
2020-04-06;"Feminino";"35-39";1;27
2020-04-06;"Feminino";"40-44";1;11
2020-04-06;"Feminino";"55-59";1;8
2020-04-06;"Feminino";"65-69";1;6
2020-04-06;"Masculino";"0-4";1;2
2020-04-06;"Masculino";"40-44";1;11
2020-04-06;"Masculino";"45-49";4;15
2020-04-06;"Masculino";"50-54";1;9
2020-04-06;"Masculino";"55-59";3;13
2020-04-06;"Masculino";"60-64";1;11
2020-04-06;"Masculino";"85-89";1;1
2020-04-07;"Feminino";"30-34";1;22
2020-04-07;"Feminino";"60-64";1;6
2020-04-07;"Masculino";"45-49";2;17
2020-04-09;"Feminino";"35-39";1;28
2020-04-09;"Feminino";"50-54";1;13
2020-04-09;"Feminino";"55-59";1;9
2020-04-09;"Masculino";"30-34";2;11
2020-04-09;"Masculino";"35-39";3;21
2020-04-09;"Masculino";"55-59";1;14
2020-04-09;"Masculino";"65-69";1;9
2020-04-10;"Feminino";"0-4";1;3
2020-04-10;"Feminino";"20-24";1;7
2020-04-10;"Feminino";"25-29";2;15
2020-04-10;"Feminino";"30-34";1;23
2020-04-10;"Feminino";"35-39";4;32
2020-04-10;"Feminino";"40-44";1;12
2020-04-10;"Feminino";"70-74";1;4
2020-04-10;"Feminino";"75-79";1;1
2020-04-10;"Masculino";"0-4";1;3
2020-04-10;"Masculino";"25-29";1;8
2020-04-10;"Masculino";"30-34";1;12
2020-04-10;"Masculino";"35-39";3;24
2020-04-10;"Masculino";"40-44";3;14
2020-04-10;"Masculino";"45-49";1;18
2020-04-10;"Masculino";"50-54";2;11
2020-04-10;"Masculino";"60-64";1;12
2020-04-12;"Feminino";"30-34";2;25
2020-04-12;"Feminino";"35-39";4;36
2020-04-12;"Feminino";"40-44";4;16
2020-04-12;"Feminino";"45-49";1;10
2020-04-12;"Feminino";"50-54";1;14
2020-04-12;"Feminino";"55-59";1;10
2020-04-12;"Feminino";"60-64";5;11
2020-04-12;"Feminino";"80-84";2;2
2020-04-12;"Masculino";"0-4";1;4
2020-04-12;"Masculino";"20-24";1;6
2020-04-12;"Masculino";"30-34";5;17
2020-04-12;"Masculino";"35-39";2;26
2020-04-12;"Masculino";"40-44";5;19
2020-04-12;"Masculino";"45-49";4;22
2020-04-12;"Masculino";"50-54";4;15
2020-04-12;"Masculino";"60-64";3;15
2020-04-12;"Masculino";"65-69";1;10
2020-04-12;"Masculino";"80-84";1;2
2020-04-13;"Feminino";"25-29";1;16
2020-04-13;"Feminino";"30-34";4;29
2020-04-13;"Feminino";"35-39";1;37
2020-04-13;"Feminino";"40-44";1;17
2020-04-13;"Feminino";"45-49";3;13
2020-04-13;"Feminino";"55-59";1;11
2020-04-13;"Masculino";"25-29";1;9
2020-04-13;"Masculino";"35-39";2;28
2020-04-13;"Masculino";"45-49";1;23
2020-04-13;"Masculino";"55-59";1;15
2020-04-13;"Masculino";"70-74";1;5
2020-04-14;"Feminino";"10-14";1;1
2020-04-14;"Feminino";"25-29";1;17
2020-04-14;"Feminino";"30-34";3;32
2020-04-14;"Feminino";"35-39";4;41
2020-04-14;"Feminino";"40-44";2;19
2020-04-14;"Feminino";"50-54";2;16
2020-04-14;"Feminino";"55-59";1;12
2020-04-14;"Feminino";"60-64";1;12
2020-04-14;"Feminino";"85-89";1;2
2020-04-14;"Masculino";"0-4";1;5
2020-04-14;"Masculino";"15-19";1;2
2020-04-14;"Masculino";"25-29";3;12
2020-04-14;"Masculino";"30-34";1;18
2020-04-14;"Masculino";"35-39";5;33
2020-04-14;"Masculino";"45-49";2;25
2020-04-14;"Masculino";"50-54";2;17
2020-04-14;"Masculino";"75-79";1;2
2020-04-15;"Masculino";"35-39";1;34
2020-04-16;"Feminino";"20-24";2;9
2020-04-16;"Feminino";"25-29";1;18
2020-04-16;"Feminino";"30-34";1;33
2020-04-16;"Feminino";"35-39";2;43
2020-04-16;"Feminino";"40-44";5;24
2020-04-16;"Feminino";"45-49";3;16
2020-04-16;"Feminino";"50-54";5;21
2020-04-16;"Feminino";"55-59";3;15
2020-04-16;"Feminino";"70-74";2;6
2020-04-16;"Feminino";"75-79";2;3
2020-04-16;"Feminino";"80-84";1;3
2020-04-16;"Feminino";"85-89";1;3
2020-04-16;"Masculino";"0-4";2;7
2020-04-16;"Masculino";"20-24";1;7
2020-04-16;"Masculino";"25-29";4;16
2020-04-16;"Masculino";"30-34";4;22
2020-04-16;"Masculino";"35-39";5;39
2020-04-16;"Masculino";"40-44";7;26
2020-04-16;"Masculino";"45-49";7;32
2020-04-16;"Masculino";"50-54";3;20
2020-04-16;"Masculino";"55-59";2;17
2020-04-16;"Masculino";"60-64";3;18
2020-04-16;"Masculino";"65-69";1;11
2020-04-16;"Masculino";"85-89";1;2
2020-04-17;"Feminino";"25-29";2;20
2020-04-17;"Feminino";"30-34";2;35
2020-04-17;"Feminino";"35-39";3;46
2020-04-17;"Feminino";"40-44";1;25
2020-04-17;"Feminino";"50-54";2;23
2020-04-17;"Feminino";"65-69";1;7
2020-04-17;"Feminino";"75-79";1;4
2020-04-17;"Feminino";"80-84";1;4
2020-04-17;"Feminino";"85-89";1;4
2020-04-17;"Masculino";"25-29";2;18
2020-04-17;"Masculino";"30-34";1;23
2020-04-17;"Masculino";"35-39";4;43
2020-04-17;"Masculino";"40-44";1;27
2020-04-17;"Masculino";"45-49";1;33
2020-04-17;"Masculino";"50-54";1;21
2020-04-17;"Masculino";"60-64";1;19
2020-04-17;"Masculino";"70-74";2;7
2020-04-17;"Masculino";"85-89";1;3
2020-04-17;"Masculino";"90-94";1;1
2020-04-18;"Feminino";"0-4";1;4
2020-04-18;"Feminino";"25-29";3;23
2020-04-18;"Feminino";"30-34";2;37
2020-04-18;"Feminino";"35-39";1;47
2020-04-18;"Feminino";"40-44";1;26
2020-04-18;"Feminino";"45-49";2;18
2020-04-18;"Feminino";"50-54";3;26
2020-04-18;"Feminino";"55-59";2;17
2020-04-18;"Feminino";"60-64";1;13
2020-04-18;"Feminino";"65-69";1;8
2020-04-18;"Feminino";"80-84";1;5
2020-04-18;"Masculino";"0-4";1;8
2020-04-18;"Masculino";"25-29";2;20
2020-04-18;"Masculino";"30-34";1;24
2020-04-18;"Masculino";"35-39";7;50
2020-04-18;"Masculino";"40-44";2;29
2020-04-18;"Masculino";"45-49";1;34
2020-04-18;"Masculino";"50-54";1;22
2020-04-18;"Masculino";"55-59";1;18
2020-04-18;"Masculino";"70-74";1;8
2020-04-18;"Masculino";"80-84";2;4
2020-04-18;"Masculino";"85-89";2;5
2020-04-20;"Feminino";"25-29";1;24
2020-04-20;"Feminino";"30-34";3;40
2020-04-20;"Feminino";"40-44";1;27
2020-04-20;"Feminino";"70-74";1;7
2020-04-20;"Feminino";"75-79";1;5
2020-04-20;"Masculino";"20-24";1;8
2020-04-20;"Masculino";"25-29";1;21
2020-04-20;"Masculino";"30-34";1;25
2020-04-20;"Masculino";"35-39";1;51
2020-04-20;"Masculino";"45-49";1;35
2020-04-20;"Masculino";"70-74";1;9
2020-04-21;"Feminino";"20-24";1;10
2020-04-21;"Feminino";"30-34";2;42
2020-04-21;"Feminino";"35-39";1;48
2020-04-21;"Feminino";"50-54";1;27
2020-04-21;"Feminino";"55-59";3;20
2020-04-21;"Feminino";"60-64";1;14
2020-04-21;"Feminino";"65-69";3;11
2020-04-21;"Feminino";"75-79";1;6
2020-04-21;"Masculino";"0-4";1;9
2020-04-21;"Masculino";"20-24";1;9
2020-04-21;"Masculino";"25-29";3;24
2020-04-21;"Masculino";"30-34";5;30
2020-04-21;"Masculino";"35-39";3;54
2020-04-21;"Masculino";"45-49";3;38
2020-04-21;"Masculino";"50-54";1;23
2020-04-21;"Masculino";"65-69";1;12
2020-04-21;"Masculino";"70-74";1;10
2020-04-21;"Masculino";"95-99";1;1
2020-04-22;"Feminino";"15-19";1;2
2020-04-22;"Feminino";"20-24";5;15
2020-04-22;"Feminino";"25-29";2;26
2020-04-22;"Feminino";"30-34";5;47
2020-04-22;"Feminino";"35-39";4;52
2020-04-22;"Feminino";"40-44";6;33
2020-04-22;"Feminino";"45-49";5;23
2020-04-22;"Feminino";"50-54";3;30
2020-04-22;"Feminino";"55-59";2;22
2020-04-22;"Feminino";"60-64";1;15
2020-04-22;"Feminino";"65-69";1;12
2020-04-22;"Feminino";"70-74";1;8
2020-04-22;"Feminino";"75-79";2;8
2020-04-22;"Feminino";"80-84";2;7
2020-04-22;"Masculino";"0-4";1;10
2020-04-22;"Masculino";"20-24";1;10
2020-04-22;"Masculino";"25-29";1;25
2020-04-22;"Masculino";"30-34";3;33
2020-04-22;"Masculino";"35-39";2;56
2020-04-22;"Masculino";"40-44";5;34
2020-04-22;"Masculino";"45-49";1;39
2020-04-22;"Masculino";"50-54";1;24
2020-04-22;"Masculino";"55-59";4;22
2020-04-22;"Masculino";"60-64";2;21
2020-04-22;"Masculino";"65-69";2;14
2020-04-22;"Masculino";"75-79";1;3
2020-04-23;"Feminino";"20-24";1;16
2020-04-23;"Feminino";"25-29";2;28
2020-04-23;"Feminino";"30-34";1;48
2020-04-23;"Feminino";"40-44";1;34
2020-04-23;"Feminino";"45-49";1;24
2020-04-23;"Feminino";"55-59";1;23
2020-04-23;"Feminino";"70-74";1;9
2020-04-23;"Masculino";"10-14";1;1
2020-04-23;"Masculino";"15-19";1;3
2020-04-23;"Masculino";"30-34";2;35
2020-04-23;"Masculino";"35-39";2;58
2020-04-23;"Masculino";"40-44";3;37
2020-04-23;"Masculino";"45-49";2;41
2020-04-23;"Masculino";"5-9";1;2
2020-04-23;"Masculino";"50-54";3;27
2020-04-23;"Masculino";"60-64";1;22
2020-04-23;"Masculino";"65-69";1;15
2020-04-23;"Masculino";"70-74";1;11
2020-04-23;"Masculino";"75-79";1;4
2020-04-23;"Masculino";"80-84";1;5
2020-04-24;"Feminino";"20-24";1;17
2020-04-24;"Feminino";"25-29";1;29
2020-04-24;"Feminino";"35-39";3;55
2020-04-24;"Feminino";"40-44";2;36
2020-04-24;"Feminino";"50-54";1;31
2020-04-24;"Feminino";"55-59";1;24
2020-04-24;"Feminino";"60-64";1;16
2020-04-24;"Feminino";"65-69";1;13
2020-04-24;"Feminino";"75-79";1;9
2020-04-24;"Feminino";"80-84";1;8
2020-04-24;"Feminino";"90-94";1;4
2020-04-24;"Masculino";"20-24";1;11
2020-04-24;"Masculino";"25-29";2;27
2020-04-24;"Masculino";"35-39";1;59
2020-04-24;"Masculino";"45-49";1;42
2020-04-24;"Masculino";"50-54";1;28
2020-04-24;"Masculino";"55-59";1;23
2020-04-24;"Masculino";"60-64";1;23
2020-04-24;"Masculino";"65-69";2;17
2020-04-24;"Masculino";"75-79";2;6
2020-04-24;"Masculino";"85-89";1;6
2020-04-25;"Feminino";"15-19";1;3
2020-04-25;"Feminino";"25-29";2;31
2020-04-25;"Feminino";"30-34";4;52
2020-04-25;"Feminino";"35-39";1;56
2020-04-25;"Feminino";"40-44";4;40
2020-04-25;"Feminino";"50-54";2;33
2020-04-25;"Feminino";"55-59";3;27
2020-04-25;"Feminino";"60-64";1;17
2020-04-25;"Feminino";"65-69";1;14
2020-04-25;"Feminino";"70-74";1;10
2020-04-25;"Masculino";"15-19";1;4
2020-04-25;"Masculino";"25-29";2;29
2020-04-25;"Masculino";"30-34";3;38
2020-04-25;"Masculino";"35-39";2;61
2020-04-25;"Masculino";"40-44";6;43
2020-04-25;"Masculino";"45-49";1;43
2020-04-25;"Masculino";"55-59";1;24
2020-04-25;"Masculino";"60-64";3;26
2020-04-25;"Masculino";"65-69";2;19
2020-04-25;"Masculino";"80-84";1;6
2020-04-25;"Masculino";"85-89";1;7
2020-04-27;"Feminino";"25-29";1;32
2020-04-27;"Feminino";"40-44";1;41
2020-04-27;"Feminino";"50-54";2;35
2020-04-27;"Feminino";"55-59";2;29
2020-04-27;"Feminino";"60-64";2;19
2020-04-27;"Masculino";"20-24";3;14
2020-04-27;"Masculino";"25-29";2;31
2020-04-27;"Masculino";"30-34";2;40
2020-04-27;"Masculino";"35-39";3;64
2020-04-27;"Masculino";"40-44";2;45
2020-04-27;"Masculino";"45-49";1;44
2020-04-27;"Masculino";"50-54";3;31
2020-04-27;"Masculino";"60-64";1;27
2020-04-27;"Masculino";"65-69";2;21
2020-04-28;"Feminino";"20-24";1;18
2020-04-28;"Feminino";"35-39";2;58
2020-04-28;"Feminino";"40-44";1;42
2020-04-28;"Feminino";"45-49";1;25
2020-04-28;"Feminino";"65-69";1;15
2020-04-28;"Masculino";"35-39";1;65
2020-04-28;"Masculino";"55-59";1;25
2020-04-29;"Feminino";"20-24";1;19
2020-04-29;"Feminino";"25-29";2;34
2020-04-29;"Feminino";"30-34";5;57
2020-04-29;"Feminino";"35-39";4;62
2020-04-29;"Feminino";"40-44";7;49
2020-04-29;"Feminino";"45-49";5;30
2020-04-29;"Feminino";"50-54";1;36
2020-04-29;"Feminino";"55-59";5;34
2020-04-29;"Feminino";"60-64";3;22
2020-04-29;"Feminino";"85-89";2;6
2020-04-29;"Masculino";"0-4";2;12
2020-04-29;"Masculino";"20-24";1;15
2020-04-29;"Masculino";"25-29";2;33
2020-04-29;"Masculino";"30-34";5;45
2020-04-29;"Masculino";"35-39";1;66
2020-04-29;"Masculino";"40-44";2;47
2020-04-29;"Masculino";"45-49";4;48
2020-04-29;"Masculino";"5-9";2;4
2020-04-29;"Masculino";"50-54";3;34
2020-04-29;"Masculino";"55-59";3;28
2020-04-29;"Masculino";"60-64";3;30
2020-04-29;"Masculino";"65-69";3;24
2020-04-29;"Masculino";"80-84";1;7
2020-04-30;"Feminino";"20-24";1;20
2020-04-30;"Feminino";"25-29";1;35
2020-04-30;"Feminino";"35-39";4;66
2020-04-30;"Feminino";"40-44";1;50
2020-04-30;"Feminino";"45-49";2;32
2020-04-30;"Feminino";"50-54";2;38
2020-04-30;"Feminino";"55-59";2;36
2020-04-30;"Feminino";"60-64";1;23
2020-04-30;"Masculino";"25-29";1;34
2020-04-30;"Masculino";"30-34";1;46
2020-04-30;"Masculino";"35-39";3;69
2020-04-30;"Masculino";"40-44";1;48
2020-04-30;"Masculino";"45-49";2;50
2020-04-30;"Masculino";"50-54";1;35
2020-04-30;"Masculino";"60-64";1;31
2020-04-30;"Masculino";"80-84";1;8
2020-05-01;"Feminino";"25-29";3;38
2020-05-01;"Feminino";"30-34";5;62
2020-05-01;"Feminino";"35-39";3;69
2020-05-01;"Feminino";"40-44";3;53
2020-05-01;"Feminino";"45-49";2;34
2020-05-01;"Feminino";"50-54";2;40
2020-05-01;"Feminino";"55-59";1;37
2020-05-01;"Feminino";"60-64";1;24
2020-05-01;"Feminino";"70-74";1;11
2020-05-01;"Feminino";"75-79";1;10
2020-05-01;"Feminino";"90-94";2;6
2020-05-01;"Masculino";"20-24";1;16
2020-05-01;"Masculino";"25-29";4;38
2020-05-01;"Masculino";"30-34";2;48
2020-05-01;"Masculino";"35-39";5;74
2020-05-01;"Masculino";"40-44";1;49
2020-05-01;"Masculino";"45-49";2;52
2020-05-01;"Masculino";"50-54";3;38
2020-05-01;"Masculino";"55-59";2;30
2020-05-01;"Masculino";"60-64";2;33
2020-05-01;"Masculino";"65-69";2;26
2020-05-01;"Masculino";"70-74";3;14
2020-05-01;"Masculino";"75-79";1;7
